hostname,pl_name,pl_rade,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,is_habitable
HD 25463,HD 25463 c,1.5,0.0435,1707.0,6220.0,1.41,1.19,0
TOI-5126,TOI-5126 b,4.74,0.06519,1442.0,6150.0,1.241,1.24,0
WASP-154,WASP-154 b,10.76062147,0.044,994.0,4774.0,0.823,0.8,0
TOI-1860,TOI-1860 b,1.31,0.0204,1885.0,5752.0,0.94,0.99,0
K2-138,K2-138 d,2.46,0.0575,888.0,5283.0,0.839,0.916,0
Kepler-1966,Kepler-1966 b,0.8,0.0721,668.0,5013.0,0.657,0.67,0
Kepler-331,Kepler-331 b,2.1,0.07,570.0,4496.0,0.579,0.653,0
Kepler-1366,Kepler-1366 b,1.27,0.0273,783.0,3941.0,0.554,0.578,0
Kepler-1712,Kepler-1712 b,1.91,0.0903,391.0,3732.0,0.509,0.515,0
Kepler-481,Kepler-481 b,2.89,0.0891,946.0,5692.0,1.265,0.931,0
Kepler-276,Kepler-276 c,3.7,0.1994,563.0,5779.0,0.974,1.037,0
Kepler-1860,Kepler-1860 b,0.88,0.104,693.0,5603.0,0.82,0.925,0
Kepler-1516,Kepler-1516 b,1.61,0.0718,967.0,5914.0,0.987,0.938,0
Kepler-145,Kepler-145 b,2.2,0.1732,886.0,6144.0,1.85,1.319,0
Kepler-167,Kepler-167 c,1.76,0.0683,755.0,4978.0,0.808,0.772,0
Kepler-238,Kepler-238 d,2.15,0.1116,759.0,5858.0,0.963,1.056,0
Kepler-549,Kepler-549 b,2.98,0.2283,487.0,5312.0,0.986,0.859,0
KOI-1783,KOI-1783.01,8.5,0.533,382.0,6235.0,1.03,1.115,0
Kepler-337,Kepler-337 c,2.0,0.09,1046.0,5900.0,1.46,1.021,0
Kepler-665,Kepler-665 b,2.86,0.1148,593.0,5015.0,0.826,0.785,0
Kepler-235,Kepler-235 b,2.06,0.03487,638.0,3887.0,0.48,0.51,0
Kepler-518,Kepler-518 b,4.38,0.0861,1252.0,6164.0,1.825,1.173,0
Kepler-1814,Kepler-1814 b,2.62,0.0371,1023.0,4922.0,0.823,0.79,0
Kepler-1432,Kepler-1432 b,1.91,0.1696,709.0,6338.0,1.091,1.137,0
Kepler-1867,Kepler-1867 b,0.67,0.0869,770.0,5684.0,0.819,0.894,0
Kepler-1144,Kepler-1144 b,3.64,0.1291,811.0,5559.0,1.412,0.974,0
Kepler-751,Kepler-751 b,3.24,0.1263,679.0,5568.0,0.966,0.882,0
Kepler-1488,Kepler-1488 c,0.87,0.0656,1107.0,6035.0,1.135,0.992,0
Kepler-1761,Kepler-1761 b,1.75,0.0413,613.0,3871.0,0.532,0.573,0
Kepler-354,Kepler-354 b,2.01,0.0542,741.0,4650.0,0.706,0.704,0
Kepler-81,Kepler-81 d,1.02,0.1207,357.0,3896.0,0.52,0.54,0
Kepler-1149,Kepler-1149 b,1.27,0.0466,1115.0,5830.0,0.876,0.97,0
Kepler-350,Kepler-350 c,2.45,0.1336,838.0,6217.0,1.247,0.997,0
Kepler-637,Kepler-637 b,2.76,0.1734,862.0,6722.0,1.466,1.296,0
Kepler-144,Kepler-144 c,1.1,0.0935,923.0,6363.0,1.012,1.065,0
Kepler-375,Kepler-375 b,2.5,0.1007,851.0,5500.0,1.238,0.922,0
Kepler-1368,Kepler-1368 b,1.44,0.0153,2086.0,5966.0,0.961,1.049,0
Kepler-308,Kepler-308 c,1.99,0.121,705.0,5876.0,0.89,0.997,0
Kepler-1219,Kepler-1219 b,1.32,0.1245,825.0,6053.0,1.188,0.991,0
Kepler-1794,Kepler-1794 b,1.96,0.0821,703.0,5052.0,0.816,0.773,0
Kepler-1252,Kepler-1252 b,1.44,0.1078,665.0,5475.0,0.818,0.734,0
Kepler-590,Kepler-590 b,3.51,0.0647,1056.0,6050.0,1.013,1.05,0
Kepler-433,Kepler-433 b,7.93,0.06,1149.0,6057.0,1.11,1.009,0
Kepler-863,Kepler-863 b,2.87,0.122,718.0,5900.0,0.929,0.995,0
Kepler-764,Kepler-764 b,1.59,0.0722,876.0,5798.0,0.847,0.932,0
Kepler-1128,Kepler-1128 b,3.36,0.302,424.0,5480.0,0.931,0.966,0
Kepler-115,Kepler-115 b,0.99,0.0351,1459.0,5977.0,1.075,0.999,0
Kepler-1188,Kepler-1188 b,2.17,0.1344,781.0,6217.0,1.09,1.098,0
Kepler-963,Kepler-963 b,2.89,0.0849,802.0,5500.0,0.928,0.821,0
Kepler-865,Kepler-865 c,0.95,0.062,926.0,5438.0,0.92,0.822,0
Kepler-84,Kepler-84 b,2.75,0.0831,932.0,6028.0,1.022,1.005,0
Kepler-454,Kepler-454 b,1.82,0.098,844.0,5783.0,1.072,1.118,0
Kepler-236,Kepler-236 c,1.85,0.1325,325.0,3750.0,0.51,0.54,0
Kepler-119,Kepler-119 c,0.9,0.0489,1017.0,5588.0,0.832,0.914,0
Kepler-1837,Kepler-1837 b,1.43,0.065,1012.0,5966.0,0.961,1.049,0
Kepler-1417,Kepler-1417 b,1.0,0.1431,695.0,5952.0,1.002,0.942,0
Kepler-325,Kepler-325 b,3.0,0.0522,1017.0,5445.0,0.937,0.919,0
Kepler-744,Kepler-744 b,2.7,0.105,1013.0,5938.0,1.57,1.06,0
K2-16,K2-16 c,2.14,0.122,523.0,4761.0,0.64,0.67,0
Kepler-117,Kepler-117 c,10.6,0.2776,612.0,6163.0,1.406,1.102,0
Kepler-898,Kepler-898 b,1.38,0.0534,603.0,4187.0,0.57,0.59,0
Kepler-136,Kepler-136 b,2.06,0.1062,951.0,6156.0,1.303,1.193,0
Kepler-418,Kepler-418 b,9.88,0.389,446.0,6177.0,1.043,1.039,0
Kepler-179,Kepler-179 c,2.52,0.0638,810.0,5299.0,0.766,0.856,0
Kepler-1717,Kepler-1717 b,2.3,0.211,751.0,6858.0,1.3,1.33,0
Kepler-83,Kepler-83 d,1.81,0.0477,567.0,3893.0,0.52,0.54,0
Kepler-859,Kepler-859 b,2.87,0.1343,519.0,5100.0,0.714,0.785,0
Kepler-352,Kepler-352 c,1.25,0.1183,583.0,5238.0,0.752,0.836,0
Kepler-1907,Kepler-1907 b,0.83,0.057,837.0,5142.0,0.78,0.759,0
Kepler-816,Kepler-816 b,9.41,0.0893,669.0,5122.0,0.784,0.859,0
Kepler-1404,Kepler-1404 b,1.89,0.114,606.0,5385.0,0.741,0.778,0
Kepler-1329,Kepler-1329 b,2.05,0.0747,577.0,4442.0,0.648,0.637,0
Kepler-1023,Kepler-1023 b,2.78,0.3103,426.0,5576.0,0.929,1.031,0
Kepler-461,Kepler-461 b,2.69,0.0821,886.0,5900.0,0.951,1.065,0
Kepler-1802,Kepler-1802 b,1.71,0.0662,581.0,4245.0,0.637,0.649,0
Kepler-1428,Kepler-1428 b,1.95,0.0995,1141.0,6409.0,1.622,1.151,0
Kepler-92,Kepler-92 b,3.63,0.1174,975.0,5862.0,1.67,1.142,0
Kepler-275,Kepler-275 c,3.42,0.1281,875.0,6157.0,1.33,1.08,0
Kepler-257,Kepler-257 d,5.34,0.1582,567.0,5188.0,0.973,0.868,0
Kepler-401,Kepler-401 d,2.57,0.6503,380.0,6115.0,1.291,1.077,0
Kepler-674,Kepler-674 b,1.32,0.0261,685.0,3741.0,0.45,0.47,0
Kepler-172,Kepler-172 e,2.41,0.203,549.0,5583.0,1.007,0.903,0
Kepler-870,Kepler-870 b,2.52,0.1539,691.0,6170.0,0.992,1.063,0
Kepler-1853,Kepler-1853 b,1.38,0.2332,385.0,4930.0,0.732,0.707,0
Kepler-1021,Kepler-1021 b,1.96,0.1034,634.0,5395.0,0.734,0.821,0
Kepler-1468,Kepler-1468 c,1.07,0.0459,1215.0,5973.0,0.976,1.019,0
Kepler-386,Kepler-386 b,1.26,0.0956,638.0,5177.0,0.746,0.77,0
Kepler-648,Kepler-648 b,2.85,0.1302,661.0,5796.0,0.871,0.966,0
Kepler-444,Kepler-444 c,0.39,0.0458,799.0,5032.0,0.593,0.618,0
Kepler-889,Kepler-889 b,1.1,0.0492,1328.0,5876.0,1.293,1.132,0
Kepler-351,Kepler-351 c,3.26,0.2822,430.0,5646.0,0.841,0.914,0
Kepler-98,Kepler-98 b,1.82,0.026,1437.0,5580.0,0.886,0.989,0
Kepler-110,Kepler-110 b,2.96,0.1091,1067.0,5887.0,1.843,1.075,0
Kepler-878,Kepler-878 b,1.87,0.154,502.0,5121.0,0.762,0.723,0
K2-22,K2-22 b,2.5,0.0088,2100.0,3830.0,0.57,0.6,0
Kepler-826,Kepler-826 b,1.37,0.0528,1305.0,6060.0,1.257,0.972,0
Kepler-1270,Kepler-1270 b,3.12,0.072,1482.0,5172.0,3.04,1.38,0
Kepler-1998,Kepler-1998 b,0.6,0.0405,1187.0,5640.0,0.921,0.962,0
Kepler-1943,Kepler-1943 b,1.1,0.0571,1098.0,6032.0,0.973,1.055,0
Kepler-235,Kepler-235 c,1.22,0.0617,478.0,3887.0,0.48,0.51,0
Kepler-301,Kepler-301 d,1.66,0.1103,725.0,5814.0,0.881,0.944,0
Kepler-1789,Kepler-1789 b,3.24,0.3543,380.0,5436.0,0.888,0.92,0
Kepler-1499,Kepler-1499 b,1.19,0.2196,409.0,5002.0,0.753,0.723,0
Kepler-361,Kepler-361 b,1.29,0.0833,1048.0,6327.0,1.175,1.064,0
Kepler-385,Kepler-385 c,2.07,0.124,779.0,6084.0,1.04,1.1,0
Kepler-254,Kepler-254 c,2.52,0.106,772.0,5956.0,0.92,1.021,0
